REGION,DISTRICT,SUBDIS,GHS_SUBDIS,LOCALITY,FACILITY,GHS_FACILITY,TYPE,OWNERSHIP,LATITUDE,LONGITUDE,Area,Region_202,Region_201,Code,Anemia
Western,Effia-Kwesimintsim,Anaji,,Assakai,Gladys Azalekor,,,,4.936814,-1.794597,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Effia Nkwanta,Global Call Hospital,,,,4.925825,-1.741424,13842,Western,Western,"01",45.9
Western,Wassa East,Sekyere Krobo,Akropong (WAE),Sekyere Krobo,Glory Of God Maternity Home And Clinic,St George Maternity,Maternity Home,Private,5.238964,-1.607747,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Akyempim,Gmc Hospital,,,,5.253951,-1.9921,13842,Western,Western,"01",45.9
Western,Wassa East,Ateiku,,Akyempim,Golden Star Clinic,,,,5.487146,-1.725608,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,New Atuabo,,Tarkwa Akoon,Goldfields Apinto Hospital,,,,5.321942,-1.990553,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,New Atuabo,,Tarkwa Akoon,Goldfields Mines Hospital,,,,5.32142,-1.991131,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),,Adesu,Gov'T Old Building,,,,5.800518,-2.074117,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Anaji,,Adientem,Government,,,,4.935416,-1.791044,13842,Western,Western,"01",45.9
Western,Jomoro,Newtown,Half Assini,Nzimtianu (Enzimtianu),Government Chip Compound,Half Assini Government Hospital,Municipal Hospital,Government,5.072827,-3.006939,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuaem (Western),,Mile 5,Government Clinic,,,,5.054163,-1.995477,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran Breman,Akropong (WAE),Moseaso,Government Of Ghana,Wassa Akropong Government Hospital,Municipal Hospital,Government,5.837218,-2.507051,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran Breman,Akropong (WAE),Moseaso,Government Of Ghana Property,Wassa Akropong Government Hospital,Municipal Hospital,Government,5.837376,-2.507182,13842,Western,Western,"01",45.9
Western,Shama,Supomu Dunkwa,,Fawomanye,Government Property,,,,5.065738,-1.588315,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,GPHA Hospital,,,,4.888291,-1.749136,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Gpha Hospital,,,,4.888463,-1.751337,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Manso Amenfi,,Anobil,Grace Opam,,,,5.506125,-2.285125,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Nkontompo,Grace Quansah,,,,4.922456,-1.74464,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,,Prestea,Grace Turkson,,,,5.428059,-2.143274,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Butumajebu,Gracelina Ama Ansah,,,,4.954273,-1.733201,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Effia,,Anaji Estate,Great Faith Family Clinic,,,,4.935563,-1.785255,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Agona,Gyabenkrom,Grel Clinic,Grel Clinic,Clinic,Private,4.904196,-2.066381,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Awudua,,Grel Quarters,Grel Quarters,,,,5.401129,-2.095301,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Princess,Agona,Moko,Grel Tsibu Factory Infirmary,Grel Clinic,Clinic,Private,4.883191,-2.089556,13842,Western,Western,"01",45.9
Western,Nzema East,Gwira Banso,Gwira Banso,Gwira Banso,Gwira Banso Clinic,Gwira Banso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.119829,-2.240727,13842,Western,Western,"01",45.9
Western,Nzema East,Gwira Eshiem,Gwira Banso,Gwira Eshiem,Gwira Eshiem Community Clinic,Gwira Banso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.144897,-2.192118,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Gyapa(Japa),Gyapa Hospital,Japa CHPS,Community Health Planning Services (CHPS) Compound,Government,5.841992,-2.01336,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Adjakaa Manso,Saa,Gyedua Asaman,Gyedua Asaaman Chips Clinic,Saa Health Centre,Health Centre,Government,5.863759,-2.198894,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Agona Amenfi,Afransie,Gyeduakese,Gyedua Kese Chps Compound,Gyedua CHPS,Community Health Planning Services (CHPS) Compound,Government,5.891071,-2.308504,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Hajia Selina Yakubu,,,,5.301061,-1.99497,13842,Western,Western,"01",45.9
Western,Jomoro,Half Assini,Half Assini,Half Assini,Half Assini Government Hospital,Half Assini Government Hospital,Municipal Hospital,Government,5.054021,-2.890251,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,,Gambia,Haruna Sumaila,,,,5.370725,-2.156269,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Sekondi,Hayford,,,,4.936055,-1.727106,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Health Care And Herbal Clinic,,,,4.901147,-1.759266,13842,Western,Western,"01",45.9
Western,Shama,Graveldo,,Komfueku,Health Centre,,,,5.02167,-1.684564,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,,Amuni,Health Centre,,,,5.57537,-2.360328,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,,Amuni,Health Centre,,,,5.575364,-2.36048,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tamso,Health Plus Clinic,,,,5.285219,-2.000637,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Diabene,,Efirimkrom,Henry Attumbu,,,,4.970985,-1.750816,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tamso,Hilltop Clinic,,,,5.278581,-1.995225,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Himan,Himan,Himan,Himan Health Cente,Himan Health Centre,Health Centre,Government,5.453838,-2.136521,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Himan,Himan,Himan,Himan Health Centre,Himan Health Centre,Health Centre,Government,5.456196,-2.135838,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Anaji,,Assakai,Hinas Bohan (Nansa Medical Clinic),,,,4.932837,-1.79801,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Adesu,Holy Angels Medical Centre,Holy Angels Clinic,Clinic,Private,5.806831,-2.065433,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Egyam (Agyam),Holy Child  Clinic,,,,4.868557,-1.857719,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Diabene,,Fijai,Holy Cross Hospital,,,,4.940543,-1.754539,13842,Western,Western,"01",45.9
Western,Shama,Supomu Dunkwa,,Supormu-Dunkwa,Hospital,,,,5.115443,-1.62183,13842,Western,Western,"01",45.9
Western,Ellembelle,Aiyinase,,Anyinase,Hospital Laboratory,,,,5.042705,-2.465501,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,,Obuoho,Hour Of Praise Clinic,,,,5.406535,-2.129088,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Aboso (Prestea-Huni Valley),Huni Valley,Huni Ano No 2,Huni Ano Clinic,Huni Valley Health Centre,Health Centre,Government,5.401163,-1.996073,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Huni Valley,Huni Valley,Huni Valley,Huni Valley Health Centre,Huni Valley Health Centre,Health Centre,Government,5.472374,-1.913081,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Awudua,Awudua,Huniso,Huniso Chps Compound,Huniso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.382106,-2.060022,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Apowa,Ibrwud,,,,4.894096,-1.827865,13842,Western,Western,"01",45.9
Western,Mpohor,Mpohor,,Mporhor,Ict Centre,,,,4.970056,-1.892628,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Iduapriem,,Adieyie (Mile 8),Iduapriem Health Centre,,,,5.246571,-2.090473,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Igs Financial Services Building,,,,5.302994,-1.987122,13842,Western,Western,"01",45.9
Western,Shama,Aboadze Abuesi,Aboadze Abuesi,Inchaban(Lower),Inchaban Health Centre,Inchaban CHPS,Community Health Planning Services (CHPS) Compound,Government,5.001479,-1.6779,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,,Bogoso,Inner City Hospital,,,,5.567511,-2.012279,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Insusiding,Insusiding,Insu/Peterline,Insu Chps Compound,Insusiding CHPS,Community Health Planning Services (CHPS) Compound,Government,5.593402,-1.936426,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Insusiding,Insusiding,Insu/Peterline,Insu Siding Clinic,Insusiding CHPS,Community Health Planning Services (CHPS) Compound,Government,5.589838,-1.944312,13842,Western,Western,"01",45.9
Western,Wassa East,Sekyere Krobo,Saa,Essamang,Isaac Nyamekye,Saa Health Centre,Health Centre,Government,5.353119,-1.68213,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankrangwa,Saa,Asankragwa,Isaac Sam,Saa Health Centre,Health Centre,Government,5.814488,-2.442181,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Sekondi,Islamic Clinic,,,,4.935404,-1.720303,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Dixcove,,Katakro(Katapro),Jackson Rory,,,,4.749764,-2.071269,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,Kwesimintim,West Tanokrom,Jaggreys Fertility And Natural Health Clinic,Work and Happiness Maternity Home,Maternity Home,Private,4.915354,-1.780045,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Kweikuma,Jamkey,,,,4.930018,-1.741948,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,West Tanokrom,Jane Conduah,,,,4.91254,-1.776887,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Effia Nkwanta,Janet Mensah,,,,4.92273,-1.744502,13842,Western,Western,"01",45.9
Western,Jomoro,Newtown,Newtown,Jewi Wharf,Jaway Wharf Chip Compound,Jaway Wharf CHPS,Community Health Planning Services (CHPS) Compound,Government,5.079742,-2.940668,13842,Western,Western,"01",45.9
Western,Jomoro,Beyin,,Twenen,Jennifer  Eeliah  Johnson,,,,5.00767,-2.679529,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Ngyiresia-Essipon,Jennifer Tetteh,,,,4.964417,-1.694385,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Jireh Eye Clinic,,,,4.890753,-1.753478,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Effia,Effia,Anaji,Jod Medical Centre,Karis Medical Centre,Clinic,Private,4.941036,-1.787438,13842,Western,Western,"01",45.9
Western,Mpohor,Mpohor,,Ayiem,Joe Appiah,,,,5.010081,-1.954373,13842,Western,Western,"01",45.9
Western,Nzema East,Gwira Banso,,Sentum,Joe Etoah,,,,5.096373,-2.1962,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,Anaji Estate,John  Ebenezer  Awotoi,,,,4.932992,-1.778271,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Taylorkrom,John Bitar Company,,,,4.953359,-1.717524,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Awudua,,Awudua,John Kwaw,,,,5.430578,-2.08797,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tamso,Jonel Clinic,,,,5.281323,-1.998039,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,,Obing,Jones Aid Clinic,,,,5.663239,-2.329506,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,,Prestea,Josephine Quinsker Wiafe,,,,5.431976,-2.151238,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),,Agona Nkwanta (Damite),Josvee Medical Hospital,,,,4.880248,-1.961654,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Adjakaa Manso,Adjakaa Manso,Juabo,Juabo Health Centre,Juabo Health Centre,Health Centre,Government,6.093242,-2.214332,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Domeabra,Juanes E N T Centre,,,,5.262749,-2.015652,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,Apowa,Apowa,Jubilee Catholic Children Hospital,Egyam Catholic Clinic,Clinic,Christian Health Association of Ghana (CHAG),4.894907,-1.813086,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Adjakaa Manso,,Mpatase Hemang,Jukwa-Hemang Chip,,,,5.952976,-2.169791,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Ngyiresia,Justmac  Uncompleted  Chps,,,,4.961219,-1.708267,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Attobrakrom,Attobrakrom,Kabre Krom,Kabre Chps,Kabrekrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.662998,-2.488938,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,Atobiase,Kakra,Kakra Community Clinic,Akutuase Community Clinic,Clinic,Government,5.511806,-2.301914,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Nananko,Nananko,Nkonya,Kamabe Health Centre,Kamabe Healthcare Clinic,Clinic,Private,5.932875,-1.924377,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Diabene,,Kansaworado,Kansaworado Chief Palace,,,,4.953242,-1.762546,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Akyem,Keep The Faith Clinic,,,,5.251206,-1.980024,13842,Western,Western,"01",45.9
Western,Nzema East,Dadwen-Kegyina,Dadwen-Kegyina,Kegyina,Kegyina Chps Compound,Kegyina CHPS,Community Health Planning Services (CHPS) Compound,Government,4.902662,-2.137944,13842,Western,Western,"01",45.9
Western,Jomoro,Beyin,Beyin,Kengen,Kengen Chps Compound,Kengen CHPS,Community Health Planning Services (CHPS) Compound,Government,4.999233,-2.639521,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Ketan,Ketan Vil Clinic,,,,4.95122,-1.729805,13842,Western,Western,"01",45.9
Western,Ellembelle,Esiama,Eikwe,Kikam,Kikam Sanford International Clinic,Sanford International Clinic - Atuabo,Community Health Planning Services (CHPS) Compound,Non-Governmental Organisation (NGO),4.925732,-2.321617,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Afransie,Anyinabrim,Kofikrom,Kofikrom Clinic,Kofiekrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.868976,-2.160046,13842,Western,Western,"01",45.9
Western,Wassa East,Ateiku,Ateiku,Beposo (Kokooase),Kokoase  Chps Compound,Kokoase CHPS,Community Health Planning Services (CHPS) Compound,Government,5.526235,-1.630828,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,Samreboi,Kokoase,Kokoase Chps Compound,Kokoase (Wassa Amenfi West) CHPS,Community Health Planning Services (CHPS) Compound,Government,5.606942,-2.487267,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Takoradi,Kokompe Health Centre,,,,4.888437,-1.767371,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Kojokrom (Sekondi-Takoradi),,Kojokrom,Kremlin Medical Centre,,,,4.965775,-1.731379,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Insusiding,Huni Valley,Kuranti No 2,Kuranti No 2 Chps Compound,Kurantin No. 1 & 2 CHPS,Community Health Planning Services (CHPS) Compound,Government,5.533948,-1.940379,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankrangwa,,Asankragwa,Kusi Kyei,,,,5.804111,-2.446936,13842,Western,Western,"01",45.9
Western,Nzema East,Tebakrom,Kutukrom,Kutukrom,Kutukrom Health Centre,Kutukrom Health Centre,Health Centre,Government,5.304005,-2.207054,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Oppon Valley,Asankran-Saa,Nyamebekyere,Kwabena Agyeis House,Kwabeng CHPS,Community Health Planning Services (CHPS) Compound,Government,5.632866,-1.951578,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Iduapriem,,Wangara Krom,Kwabena Ofitaa,,,,5.299102,-2.072836,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran-Saa,Asankran-Saa,Kwabeng,Kwabeng Chip Compound,Kwabeng CHPS,Community Health Planning Services (CHPS) Compound,Government,5.875745,-2.399779,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,,Kwahu Bissagya,Kwahu Bisa Agya  Clinic,,,,5.49122,-2.567293,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Wassa Dunkwa,Daboase,Kwekukrom,Kwakukrom Chps Compound,Ebukrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.695048,-2.494462,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anyinabrim (Wassa Amenfi Central),Anyinabrim,Kwamang,Kwamang Chps Compound,Kwaman (Wassa Amenfi Central) CHPS,Community Health Planning Services (CHPS) Compound,Government,5.746938,-2.284953,13842,Western,Western,"01",45.9
Western,Ellembelle,New Aiyinase,New Aiyinase,Kwesikrom,Kwesikrom Clinic,Kwasikrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.310069,-2.397491,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,,Fawomang,Kwojo Antwi,,,,5.344874,-2.713221,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Bonsie,Bonsie,Kyeikrom,Kyeikrom Chps Compound,kyeikrom CHPS,Community Health Planning Services (CHPS) Compound,Government,6.077692,-2.36409,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuaem (Western),,Kyekyewere,Kyekyewere Health Centre,,,,4.974806,-2.007098,13842,Western,Western,"01",45.9
Western,Shama,Shama,,Shama,Life Line Medical  Centre,,,,5.013573,-1.635534,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,,Petepom,Listowel Nkrumah,,,,5.546208,-1.996516,13842,Western,Western,"01",45.9
Western,Shama,Graveldo,Graveldo,Nkyirikyri(Graveldo),Living Well Medical Centre,Living Well CHPS,Community Health Planning Services (CHPS) Compound,Government,5.032739,-1.67293,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Dixcove,Dixcove,Dixcove (Lower),Lower Dixcove Chps Compound,Lower Dixcove CHPS,Community Health Planning Services (CHPS) Compound,Government,4.796641,-1.951661,13842,Western,Western,"01",45.9
Western,Ellembelle,Eikwe,Nkroful,Baku,Maaha Beach Resort,Adamus Resort Clinic,Clinic,Quasi-Government,4.972068,-2.516124,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Asankrangwa,Agona Nkwanta,Maame  Enubaale Memorial Clinic,Father Thomas Alan Rooney Memorial Hospital,Municipal Hospital,Christian Health Association of Ghana (CHAG),4.882713,-1.964123,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Takoradi,Macus Instiution,,,,4.901071,-1.765379,13842,Western,Western,"01",45.9
Western,Ellembelle,Asasetre,,Asaetere,Madam Ehalebie'S Shop,,,,5.025731,-2.344236,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tarkwa Brenu Akyem,Madam Joanna,,,,5.296455,-1.986396,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,New Atuabo,,Borborbo,Madame Alice,,,,5.335401,-1.979418,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Essipon,Madanfo Hospital,,,,4.963728,-1.694035,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Iduapriem,,Tebrebe,"Main Block, Teberebie Community Clinic",,,,5.267877,-2.028196,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Sekondi,Male Prison Infirmary,,,,4.939229,-1.718066,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Dawurampong,Dawurampong,Mansiso,Mansiso  Chips  Zone,Mansiso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.733024,-1.937153,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Manso Amenfi,Adjakaa Manso,Manso Amenfi,Manso Amenfi Health Centre,Adjakaa Manso Health Centre,Health Centre,Government,5.631638,-2.258388,13842,Western,Western,"01",45.9
Western,Mpohor,Manso (Mpohor),Manso,Manso,Manso Health Centre,Manso Community Clinic,Clinic,Government,5.079639,-1.833078,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Dixcove,Asankrangwa,New Akwadaa,Mary Akuaba Memorial Adventist Clinic,Father Thomas Alan Rooney Memorial Hospital,Municipal Hospital,Christian Health Association of Ghana (CHAG),4.766389,-2.033322,13842,Western,Western,"01",45.9
Western,Wassa East,Sekyere Krobo,,Enyinaberem,Mary Baidoo'S House,,,,5.405506,-1.636184,13842,Western,Western,"01",45.9
Western,Nzema East,Tebakrom,Akropong (WAE),Tabakrom,Maternity Centre,St George Maternity,Maternity Home,Private,5.311663,-2.335545,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Wassa Dunkwa,,Wassa Dunkwa,Mch Building,,,,5.774021,-2.520641,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Aboso (Prestea-Huni Valley),,Mahamo,Memahommo Chps Compound,,,,5.237311,-1.870721,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,,Woman No Good,Mercy  Johnson,,,,5.574155,-2.510657,13842,Western,Western,"01",45.9
Western,Nzema East,Gwira Eshiem,,Gwira Eshiem,Methodist Clinic,,,,5.1382,-2.19333,13842,Western,Western,"01",45.9
Western,Nzema East,Dadwen-Kegyina,Tebakrom,Mfantsifokrom,Mfantekrom  Chip Compound,Tebakrom CHPS,Community Health Planning Services (CHPS) Compound,Government,4.916352,-2.104618,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,Effia-Village,Michael Tadesse,,,,4.928481,-1.759149,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Princess,Bisaaso,Miemia,Miemia Community  Centre,Mumuni CHPS,Community Health Planning Services (CHPS) Compound,Government,4.809801,-2.17053,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,Gravel Yard,Mrekrom,Mmrakrom Chips Compound,Mmrakrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.432946,-2.310006,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Mohammed Amed'S Building Plans  Centre,,,,5.313173,-1.990933,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Himan,,Prestea,Moro Ibrahim,,,,5.444723,-2.130155,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Moseaso,Moseaso Chip Compound,Moseaso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.759961,-2.038735,13842,Western,Western,"01",45.9
Western,Jomoro,Samaenye,Samaenye,Mpataba,Mpataba Chps Compound,Mpataba CHPS,Community Health Planning Services (CHPS) Compound,Government,5.097049,-2.595222,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,,Mpeasem,Mpeasem Health Post,,,,5.375671,-2.654242,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Kojokrom (Mpentsen),Mpetemserew Chps,,,,4.96032,-1.721539,13842,Western,Western,"01",45.9
Western,Mpohor,Mpohor,Mpohor,Mporhor,Mpohor Health Centre,Mpohor Health Centre,Health Centre,Government,4.978806,-1.892891,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,West Tanokrom,Mr Addy Lartey,,,,4.915535,-1.774858,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),,Bokro,Mr Antwi,,,,4.891589,-1.880321,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Agona,Hotopo,Mr Appiah (Hotopo Chps Compound),Hotopo CHPS,Community Health Planning Services (CHPS) Compound,Government,4.88118,-1.908799,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,,Sekondi,Mr Erasmus Baidoo,,,,4.936884,-1.708692,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tarkwa,Mr Eric,,,,5.290826,-1.994963,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,,Bogoso,Mr Francis Akwaboah'S Building  Opposite Krobo Fitting Shop,,,,5.56802,-2.008639,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Takoradi,Mr Gazie,,,,4.896841,-1.762084,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Funko,Mr Hemens House,,,,4.874822,-1.792448,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,Anaji Estate,Mr Ibrahim Mohammed,,,,4.929094,-1.766062,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Kwesimintim,,Ntankoful,Mr Issac Acquah,,,,4.944467,-1.767252,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Brofoyedu,Mr Joseph  Akomaning,,,,5.2898,-1.985665,13842,Western,Western,"01",45.9
Western,Shama,Graveldo,,Assorku-Essaman,Mr Joseph Aidoo,,,,5.04418,-1.660169,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,,Elubo,Mr Joseph Bentil,,,,5.288059,-2.771335,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Nananko,,Marfokrom,Mr Patrick Owusu,,,,5.812209,-1.897121,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Kojokrom (Sekondi-Takoradi),,Kojokrom (Mpentsen Siriw),Mr William Kobena Sekretu,,,,4.975006,-1.72538,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Afransie,,Krobo Abrokyire,Mr Yaw House,,,,5.943363,-2.092716,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Takoradi,Mr. S. O. Akoto,,,,4.895573,-1.762358,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,Bisaaso,Mumuni Camp,Mumuni Chip Compound,Mumuni CHPS,Community Health Planning Services (CHPS) Compound,Government,5.484199,-2.466725,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,,Anwean,Mustapha Karikari,,,,5.424229,-2.387256,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,,Simpa,Mustaphar Usumanu,,,,5.589827,-2.446197,13842,Western,Western,"01",45.9
Western,Ellembelle,Aiyinase,,Akpandue,Nabel Medical Centre,,,,5.01987,-2.446744,13842,Western,Western,"01",45.9
